index,que_time,path_start_time,cross_time,return_time,start_pos,cross_pos,return_pos,direction,trigger,breakout_level,PTarget,Outer,max_pips_before_BE,cross_to_BE_minutes,cross_to_BE_time,fib_236,fib_382,fib_50,fib_618,fib_764,highest_high_above_trigger,time_highest,lowest_low_below_trigger,time_lowest,Break_evenKey,BEKeyTouches,Trade_survived_BEKey,PTarget_after_BEKey,Outer_after_BEKey,MFE_after_BEKey,outer_touched,outer_closed,ptarget_touched,ptarget_closed,fib_outer_distance,fib_ptarget_distance,fib_total_spread,outer_pre_trigger,ptarget_pre_trigger,fib_236_touched,fib_236_closed,fib_382_touched,fib_382_closed,fib_50_touched,fib_50_closed,fib_618_touched,fib_618_closed,fib_764_touched,fib_764_closed,path_length_minutes
45,2025-09-08 06:00:00+00:00,2025-09-08 07:15:00+00:00,2025-09-08 10:03:00+00:00,2025-09-08 10:34:00+00:00,8,35,38,RED,1.35184,1.35039,1.35189,1.34966,,-8,-114.0,1.3513637200000002,1.35103814,1.350775,1.3505118600000001,1.35018628,1.3522,2025-09-08 08:09:00+00:00,1.35021,2025-09-08 10:04:00+00:00,1.3522,1,0,1,0,19.900000000001583,0,0,1,1,0.0021799999999998487,5.0000000000105516e-05,0.0022299999999999542,1,1,1,1,1,1,1,1,1,1,0,0,32
46,2025-09-08 12:00:00+00:00,2025-09-08 14:01:00+00:00,2025-09-08 14:13:00+00:00,2025-09-08 15:08:00+00:00,15,23,55,RED,1.35431,1.35363,1.35494,1.35274,,-8,-12.0,1.3544208,1.3540996,1.35384,1.3535804,1.3532592,1.35466,2025-09-08 14:01:00+00:00,1.35312,2025-09-08 14:58:00+00:00,1.35466,1,0,1,0,15.399999999998748,0,0,1,1,0.0015699999999998493,0.0006300000000001305,0.0021999999999999797,1,1,1,1,1,1,1,1,1,1,1,1,42
47,2025-09-08 20:00:00+00:00,2025-09-08 21:25:00+00:00,2025-09-08 21:26:00+00:00,2025-09-08 21:27:00+00:00,20,21,22,GREEN,1.35454,1.35493,1.35444,1.35511,,-1,-1.0,1.35495188,1.35485406,1.354775,1.35469594,1.3545981200000001,1.355,2025-09-08 21:26:00+00:00,,,1.35454,1,0,1,0,4.599999999999049,0,0,1,1,0.0005699999999999594,9.999999999998899e-05,0.0006699999999999484,1,1,1,0,1,0,1,0,1,1,1,1,4
48,2025-09-09 00:00:00+00:00,2025-09-09 01:44:00+00:00,2025-09-09 03:25:00+00:00,2025-09-09 03:26:00+00:00,25,31,32,RED,1.35586,1.35582,1.35625,1.35505,,-2,-2.0,1.3559668,1.3557916,1.35565,1.3555084,1.3553332,1.3562,2025-09-09 03:23:00+00:00,1.35582,2025-09-09 03:25:00+00:00,1.3562,1,0,1,0,3.8000000000004697,0,0,1,1,0.0008099999999999774,0.00038999999999989043,0.0011999999999998678,1,1,1,1,0,0,0,0,0,0,0,0,9
49,2025-09-09 01:00:00+00:00,2025-09-09 02:26:00+00:00,2025-09-09 03:05:00+00:00,2025-09-09 04:24:00+00:00,17,53,103,RED,1.35672,1.35625,1.35704,1.35531,,-28,-31.0,1.35663172,1.35637914,1.356175,1.35597086,1.35571828,1.3569,2025-09-09 02:34:00+00:00,1.35591,2025-09-09 04:02:00+00:00,1.3569,1,0,1,0,9.900000000000464,0,0,1,1,0.0014099999999999113,0.000320000000000098,0.0017300000000000093,1,1,1,1,1,1,1,1,1,0,0,0,88
50,2025-09-09 03:00:00+00:00,2025-09-09 04:00:00+00:00,2025-09-09 04:09:00+00:00,2025-09-09 06:47:00+00:00,0,9,30,GREEN,1.35597,1.35629,1.35582,1.35652,10.700000000001264,22,159.0,1.3563547999999999,1.3562526,1.35617,1.3560874,1.3559852000000001,1.35704,2025-09-09 06:43:00+00:00,1.35579,2025-09-09 06:48:00+00:00,1.35579,1,0,1,0,2.2999999999995246,1,1,1,1,0.0005500000000000504,0.00014999999999987246,0.0006999999999999229,1,1,1,1,1,1,1,1,1,1,1,1,32
51,2025-09-09 04:00:00+00:00,2025-09-09 05:16:00+00:00,2025-09-09 06:45:00+00:00,2025-09-09 07:11:00+00:00,6,46,58,RED,1.3574,1.35652,1.35756,1.35589,,-22,-40.0,1.3571658800000002,1.35692206,1.356725,1.35652794,1.35628412,1.35783,2025-09-09 06:05:00+00:00,1.35579,2025-09-09 06:48:00+00:00,1.35783,1,0,1,1,20.400000000000418,1,1,1,1,0.0015099999999999003,0.00016000000000016001,0.0016700000000000603,1,1,1,1,1,1,1,1,1,1,1,1,54
52,2025-09-09 05:00:00+00:00,2025-09-09 06:03:00+00:00,2025-09-09 06:05:00+00:00,2025-09-09 06:07:00+00:00,2,4,6,RED,1.35794,1.35756,1.35806,1.35708,,-2,-2.0,1.35782872,1.3576856400000001,1.35757,1.35745436,1.35731128,1.35822,2025-09-09 06:03:00+00:00,1.35724,2025-09-09 06:06:00+00:00,1.35822,1,0,1,0,9.799999999999809,0,0,1,1,0.0008599999999998609,0.00012000000000012001,0.0009799999999999809,1,1,1,1,1,1,1,1,1,1,1,0,6
53,2025-09-09 06:00:00+00:00,2025-09-09 07:00:00+00:00,2025-09-09 07:06:00+00:00,2025-09-09 07:37:00+00:00,0,4,25,GREEN,1.35662,1.35708,1.35579,1.35827,,-4,-6.0,1.3576847200000002,1.35732264,1.35703,1.3567373600000001,1.35637528,1.35751,2025-09-09 07:28:00+00:00,1.35645,2025-09-09 07:00:00+00:00,1.35645,1,0,1,0,10.600000000000609,0,0,1,1,0.0016500000000001513,0.0008299999999998864,0.0024800000000000377,1,1,0,0,1,1,1,1,1,1,1,1,27
54,2025-09-09 12:00:00+00:00,2025-09-09 13:04:00+00:00,2025-09-09 13:10:00+00:00,2025-09-09 13:11:00+00:00,4,10,11,GREEN,1.35543,1.35572,1.35458,1.35604,,-6,-6.0,1.3556954399999999,1.35548228,1.3553099999999998,1.3551377199999999,1.35492456,1.35586,2025-09-09 13:10:00+00:00,1.35516,2025-09-09 13:04:00+00:00,1.35516,1,0,1,0,7.0000000000014495,0,0,1,1,0.0006099999999999994,0.0008500000000000174,0.0014600000000000168,1,1,1,0,1,1,1,1,1,1,1,1,9
55,2025-09-09 15:00:00+00:00,2025-09-09 16:11:00+00:00,2025-09-09 16:12:00+00:00,2025-09-09 16:13:00+00:00,9,10,11,GREEN,1.35313,1.35321,1.35227,1.35411,,-1,-1.0,1.35367576,1.35340712,1.3531900000000001,1.35297288,1.35270424,1.3534,2025-09-09 16:14:00+00:00,1.35297,2025-09-09 16:11:00+00:00,1.35297,1,0,1,0,4.299999999999304,0,0,1,1,0.0009799999999999809,0.0008599999999998609,0.0018399999999998418,1,1,0,0,0,0,1,1,1,1,1,1,4
56,2025-09-09 18:00:00+00:00,2025-09-09 19:00:00+00:00,2025-09-09 19:34:00+00:00,2025-09-09 19:35:00+00:00,0,16,17,GREEN,1.35227,1.35248,1.35219,1.35278,,-9,-25.0,1.35264076,1.35255462,1.3524850000000002,1.35241538,1.35232924,1.35251,2025-09-09 19:34:00+00:00,1.35194,2025-09-09 19:09:00+00:00,1.35194,1,0,1,0,5.700000000001815,0,0,1,1,0.0005100000000000104,8.000000000008001e-05,0.0005900000000000905,1,1,0,0,0,0,1,0,1,1,1,1,19
57,2025-09-09 19:00:00+00:00,2025-09-09 20:00:00+00:00,2025-09-09 20:18:00+00:00,2025-09-09 20:20:00+00:00,0,18,20,GREEN,1.35194,1.35219,1.35184,1.35251,,-8,-8.0,1.35235188,1.3522540600000001,1.352175,1.3520959399999999,1.35199812,1.35221,2025-09-09 20:18:00+00:00,1.35183,2025-09-09 20:10:00+00:00,1.35183,2,0,1,0,3.7999999999982492,0,0,1,1,0.0005700000000001815,9.999999999998899e-05,0.0006700000000001705,1,1,0,0,0,0,1,0,1,1,1,1,22
58,2025-09-09 20:00:00+00:00,2025-09-09 21:29:00+00:00,2025-09-09 21:40:00+00:00,2025-09-09 21:43:00+00:00,25,36,39,RED,1.35275,1.35251,1.35278,1.35183,,-2,-2.0,1.3525558000000002,1.3524171,1.352305,1.3521929000000001,1.3520542,1.35282,2025-09-09 21:38:00+00:00,1.3525,2025-09-09 21:40:00+00:00,1.35282,1,0,1,0,3.1999999999987594,0,0,1,1,0.0009199999999998099,3.0000000000196536e-05,0.0009500000000000064,1,1,1,1,0,0,0,0,0,0,0,0,16
59,2025-09-10 02:00:00+00:00,2025-09-10 03:00:00+00:00,2025-09-10 06:36:00+00:00,2025-09-10 06:37:00+00:00,0,45,46,RED,1.35318,1.35283,1.35324,1.35209,,-27,-174.0,1.3529686,1.3528007,1.352665,1.3525293,1.3523614,1.35357,2025-09-10 03:42:00+00:00,1.35283,2025-09-10 06:36:00+00:00,1.35357,1,0,1,0,7.399999999999629,0,0,1,1,0.0010900000000000354,5.999999999994898e-05,0.0011499999999999844,1,1,1,1,0,0,0,0,0,0,0,0,48
60,2025-09-10 03:00:00+00:00,2025-09-10 04:00:00+00:00,2025-09-10 04:01:00+00:00,2025-09-10 04:02:00+00:00,0,1,2,RED,1.35328,1.35324,1.35366,1.3531,,-1,-1.0,1.3535278400000001,1.35344608,1.35338,1.35331392,1.35323216,1.35335,2025-09-10 04:00:00+00:00,1.3532,2025-09-10 04:03:00+00:00,1.35335,1,0,1,0,1.500000000000945,0,0,1,1,0.000180000000000069,0.00038000000000004697,0.000560000000000116,1,1,1,1,1,1,1,1,1,1,1,0,4
